2023-03-21 23:09:23,109 - args: Namespace(dataset='Citeseer', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, enc_lr=0.001, enc_weight_decay=0.0001, k=6, x_dim=32, routit=4, gpu=-1, de_rate1=0.3, de_rate2=0.3, df_rate1=0.3, df_rate2=0.3, m=10, n=4, log_epoch=100, log_lr=0.01, log_weight_decay=0.002, log_trails=10, seed=1, argv=['/home/dell/zxj/cdg/main/main.py'], device=device(type='cuda', index=1))
2023-03-21 23:09:23,110 - ================================Encoder run=================================
2023-03-21 23:09:23,110 - seed:753
2023-03-21 23:09:25,580 - Epoch:000, loss:2.1186
2023-03-21 23:09:25,613 - Epoch:001, loss:2.1320
2023-03-21 23:09:25,643 - Epoch:002, loss:2.1479
2023-03-21 23:09:25,676 - Epoch:003, loss:2.1561
2023-03-21 23:09:25,721 - Epoch:004, loss:2.1071
2023-03-21 23:09:25,757 - Epoch:005, loss:2.1252
2023-03-21 23:09:25,800 - Epoch:006, loss:2.0757
2023-03-21 23:09:25,834 - Epoch:007, loss:2.1293
2023-03-21 23:09:25,867 - Epoch:008, loss:2.0795
2023-03-21 23:09:25,901 - Epoch:009, loss:2.1171
2023-03-21 23:09:25,939 - Epoch:010, loss:2.0929
2023-03-21 23:09:25,984 - Epoch:011, loss:2.0560
2023-03-21 23:09:26,017 - Epoch:012, loss:2.1011
2023-03-21 23:09:26,053 - Epoch:013, loss:2.0591
2023-03-21 23:09:26,099 - Epoch:014, loss:2.0395
2023-03-21 23:09:26,143 - Epoch:015, loss:2.0270
2023-03-21 23:09:26,182 - Epoch:016, loss:1.9753
2023-03-21 23:09:26,221 - Epoch:017, loss:1.9495
2023-03-21 23:09:26,263 - Epoch:018, loss:1.8472
2023-03-21 23:09:26,305 - Epoch:019, loss:1.8135
2023-03-21 23:09:26,344 - Epoch:020, loss:1.7504
2023-03-21 23:09:26,382 - Epoch:021, loss:1.7001
2023-03-21 23:09:26,422 - Epoch:022, loss:1.6469
2023-03-21 23:09:26,467 - Epoch:023, loss:1.6174
2023-03-21 23:09:26,506 - Epoch:024, loss:1.6049
2023-03-21 23:09:26,545 - Epoch:025, loss:1.5857
2023-03-21 23:09:26,584 - Epoch:026, loss:1.5721
2023-03-21 23:09:26,625 - Epoch:027, loss:1.5629
2023-03-21 23:09:26,659 - Epoch:028, loss:1.5777
2023-03-21 23:09:26,699 - Epoch:029, loss:1.5573
2023-03-21 23:09:26,735 - Epoch:030, loss:1.5441
2023-03-21 23:09:26,774 - Epoch:031, loss:1.5338
2023-03-21 23:09:26,817 - Epoch:032, loss:1.5278
2023-03-21 23:09:26,858 - Epoch:033, loss:1.5106
2023-03-21 23:09:26,891 - Epoch:034, loss:1.5123
2023-03-21 23:09:26,921 - Epoch:035, loss:1.5198
2023-03-21 23:09:26,958 - Epoch:036, loss:1.4880
