2023-03-21 22:27:29,729 - args: Namespace(dataset='Cora', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, enc_lr=0.001, enc_weight_decay=0.0001, k=6, x_dim=32, routit=4, gpu=-1, de_rate1=0.3, de_rate2=0.3, df_rate1=0.3, df_rate2=0.2, m=10, n=4, log_epoch=200, log_lr=0.01, log_weight_decay=0.0001, log_trails=10, seed=1, argv=['/home/dell/zxj/cdg/main/main.py'], device=device(type='cuda', index=1))
2023-03-21 22:27:29,729 - ================================Encoder run=================================
2023-03-21 22:27:29,729 - seed:768
2023-03-21 22:27:32,119 - Epoch:000, loss:2.1519
2023-03-21 22:27:32,152 - Epoch:001, loss:2.1067
2023-03-21 22:27:32,185 - Epoch:002, loss:2.1325
2023-03-21 22:27:32,224 - Epoch:003, loss:2.0779
2023-03-21 22:27:32,257 - Epoch:004, loss:2.0955
2023-03-21 22:27:32,294 - Epoch:005, loss:2.1042
2023-03-21 22:27:32,333 - Epoch:006, loss:2.1732
2023-03-21 22:27:32,373 - Epoch:007, loss:2.1028
2023-03-21 22:27:32,413 - Epoch:008, loss:2.1100
2023-03-21 22:27:32,453 - Epoch:009, loss:2.0927
2023-03-21 22:27:32,495 - Epoch:010, loss:2.0466
2023-03-21 22:27:32,534 - Epoch:011, loss:2.0838
2023-03-21 22:27:32,578 - Epoch:012, loss:2.0182
2023-03-21 22:27:32,618 - Epoch:013, loss:1.9841
2023-03-21 22:27:32,656 - Epoch:014, loss:1.9470
2023-03-21 22:27:32,691 - Epoch:015, loss:1.9696
2023-03-21 22:27:32,725 - Epoch:016, loss:1.9049
2023-03-21 22:27:32,756 - Epoch:017, loss:1.8624
2023-03-21 22:27:32,795 - Epoch:018, loss:1.7922
2023-03-21 22:27:32,830 - Epoch:019, loss:1.7982
2023-03-21 22:27:32,870 - Epoch:020, loss:1.7209
2023-03-21 22:27:32,908 - Epoch:021, loss:1.6620
2023-03-21 22:27:32,947 - Epoch:022, loss:1.6519
2023-03-21 22:27:32,989 - Epoch:023, loss:1.5803
2023-03-21 22:27:33,031 - Epoch:024, loss:1.5468
2023-03-21 22:27:33,070 - Epoch:025, loss:1.5143
2023-03-21 22:27:33,110 - Epoch:026, loss:1.5073
2023-03-21 22:27:33,150 - Epoch:027, loss:1.5013
2023-03-21 22:27:33,190 - Epoch:028, loss:1.4863
2023-03-21 22:27:33,229 - Epoch:029, loss:1.5033
2023-03-21 22:27:33,269 - Epoch:030, loss:1.5195
2023-03-21 22:27:33,311 - Epoch:031, loss:1.4844
2023-03-21 22:27:33,348 - Epoch:032, loss:1.5133
2023-03-21 22:27:33,389 - Epoch:033, loss:1.4757
2023-03-21 22:27:33,428 - Epoch:034, loss:1.4816
2023-03-21 22:27:33,471 - Epoch:035, loss:1.4619
2023-03-21 22:27:33,510 - Epoch:036, loss:1.4835
2023-03-21 22:27:33,552 - Epoch:037, loss:1.4405
2023-03-21 22:27:33,593 - Epoch:038, loss:1.4355
2023-03-21 22:27:33,630 - Epoch:039, loss:1.4475
2023-03-21 22:27:33,669 - Epoch:040, loss:1.4453
2023-03-21 22:27:33,716 - Epoch:041, loss:1.4226
2023-03-21 22:27:33,752 - Epoch:042, loss:1.4563
2023-03-21 22:27:33,786 - Epoch:043, loss:1.4437
2023-03-21 22:27:33,826 - Epoch:044, loss:1.4110
2023-03-21 22:27:33,862 - Epoch:045, loss:1.4128
2023-03-21 22:27:33,901 - Epoch:046, loss:1.4277
2023-03-21 22:27:33,937 - Epoch:047, loss:1.4422
2023-03-21 22:27:33,975 - Epoch:048, loss:1.4185
2023-03-21 22:27:34,013 - Epoch:049, loss:1.4200
2023-03-21 22:27:34,051 - Epoch:050, loss:1.4146
2023-03-21 22:27:34,096 - Epoch:051, loss:1.3964
2023-03-21 22:27:34,141 - Epoch:052, loss:1.4159
2023-03-21 22:27:34,174 - Epoch:053, loss:1.4137
2023-03-21 22:27:34,215 - Epoch:054, loss:1.4197
2023-03-21 22:27:34,253 - Epoch:055, loss:1.4079
2023-03-21 22:27:34,288 - Epoch:056, loss:1.4013
2023-03-21 22:27:34,329 - Epoch:057, loss:1.3879
2023-03-21 22:27:34,365 - Epoch:058, loss:1.4048
2023-03-21 22:27:34,401 - Epoch:059, loss:1.3968
2023-03-21 22:27:34,439 - Epoch:060, loss:1.3970
2023-03-21 22:27:34,480 - Epoch:061, loss:1.3805
2023-03-21 22:27:34,518 - Epoch:062, loss:1.3763
2023-03-21 22:27:34,552 - Epoch:063, loss:1.3971
2023-03-21 22:27:34,588 - Epoch:064, loss:1.4121
2023-03-21 22:27:34,627 - Epoch:065, loss:1.3916
2023-03-21 22:27:34,665 - Epoch:066, loss:1.3959
2023-03-21 22:27:34,700 - Epoch:067, loss:1.4322
2023-03-21 22:27:34,739 - Epoch:068, loss:1.3883
