2023-03-21 22:55:09,487 - args: Namespace(dataset='Pubmed', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, enc_lr=0.001, enc_weight_decay=0.0001, k=8, x_dim=32, routit=4, gpu=-1, de_rate1=0.3, de_rate2=0.3, df_rate1=0.3, df_rate2=0.2, m=12, n=4, log_epoch=100, log_lr=0.01, log_weight_decay=0.002, log_trails=10, seed=1, argv=['/home/dell/zxj/cdg/main/main.py'], device=device(type='cuda', index=1))
2023-03-21 22:55:09,487 - ================================Encoder run=================================
2023-03-21 22:55:09,488 - seed:356
2023-03-21 22:55:12,190 - Epoch:000, loss:2.1389
2023-03-21 22:55:12,258 - Epoch:001, loss:2.1485
2023-03-21 22:55:12,326 - Epoch:002, loss:2.1012
2023-03-21 22:55:12,390 - Epoch:003, loss:2.1136
2023-03-21 22:55:12,455 - Epoch:004, loss:2.1386
2023-03-21 22:55:12,520 - Epoch:005, loss:2.1107
2023-03-21 22:55:12,583 - Epoch:006, loss:2.1094
2023-03-21 22:55:12,649 - Epoch:007, loss:2.1500
2023-03-21 22:55:12,716 - Epoch:008, loss:2.0868
2023-03-21 22:55:12,780 - Epoch:009, loss:2.0998
2023-03-21 22:55:12,843 - Epoch:010, loss:2.0927
2023-03-21 22:55:12,904 - Epoch:011, loss:2.1287
2023-03-21 22:55:12,969 - Epoch:012, loss:2.1073
2023-03-21 22:55:13,034 - Epoch:013, loss:2.0669
2023-03-21 22:55:13,099 - Epoch:014, loss:2.1205
2023-03-21 22:55:13,164 - Epoch:015, loss:2.1020
2023-03-21 22:55:13,227 - Epoch:016, loss:2.1175
2023-03-21 22:55:13,292 - Epoch:017, loss:2.0903
2023-03-21 22:55:13,355 - Epoch:018, loss:2.0704
2023-03-21 22:55:13,423 - Epoch:019, loss:2.0553
2023-03-21 22:55:13,488 - Epoch:020, loss:2.0472
2023-03-21 22:55:13,555 - Epoch:021, loss:2.0447
2023-03-21 22:55:13,619 - Epoch:022, loss:2.0813
2023-03-21 22:55:13,684 - Epoch:023, loss:2.0255
2023-03-21 22:55:13,749 - Epoch:024, loss:1.9877
2023-03-21 22:55:13,816 - Epoch:025, loss:1.9808
2023-03-21 22:55:13,882 - Epoch:026, loss:1.9602
2023-03-21 22:55:13,948 - Epoch:027, loss:1.9332
2023-03-21 22:55:14,013 - Epoch:028, loss:1.8792
2023-03-21 22:55:14,079 - Epoch:029, loss:1.8695
2023-03-21 22:55:14,142 - Epoch:030, loss:1.8344
2023-03-21 22:55:14,210 - Epoch:031, loss:1.7978
2023-03-21 22:55:14,276 - Epoch:032, loss:1.7658
2023-03-21 22:55:14,343 - Epoch:033, loss:1.7322
2023-03-21 22:55:14,405 - Epoch:034, loss:1.7015
2023-03-21 22:55:14,474 - Epoch:035, loss:1.6730
2023-03-21 22:55:14,537 - Epoch:036, loss:1.6078
2023-03-21 22:55:14,603 - Epoch:037, loss:1.5988
2023-03-21 22:55:14,670 - Epoch:038, loss:1.5829
2023-03-21 22:55:14,736 - Epoch:039, loss:1.5743
2023-03-21 22:55:14,799 - Epoch:040, loss:1.5361
2023-03-21 22:55:14,865 - Epoch:041, loss:1.5205
2023-03-21 22:55:14,932 - Epoch:042, loss:1.5096
2023-03-21 22:55:14,995 - Epoch:043, loss:1.5213
2023-03-21 22:55:15,061 - Epoch:044, loss:1.4962
2023-03-21 22:55:15,127 - Epoch:045, loss:1.4870
2023-03-21 22:55:15,194 - Epoch:046, loss:1.4678
2023-03-21 22:55:15,258 - Epoch:047, loss:1.4684
2023-03-21 22:55:15,325 - Epoch:048, loss:1.4644
2023-03-21 22:55:15,388 - Epoch:049, loss:1.4748
2023-03-21 22:55:15,454 - Epoch:050, loss:1.4480
2023-03-21 22:55:15,519 - Epoch:051, loss:1.4519
2023-03-21 22:55:15,582 - Epoch:052, loss:1.4695
2023-03-21 22:55:15,646 - Epoch:053, loss:1.4450
2023-03-21 22:55:15,712 - Epoch:054, loss:1.4381
2023-03-21 22:55:15,779 - Epoch:055, loss:1.4377
2023-03-21 22:55:15,843 - Epoch:056, loss:1.4478
2023-03-21 22:55:15,910 - Epoch:057, loss:1.4356
2023-03-21 22:55:15,975 - Epoch:058, loss:1.4341
2023-03-21 22:55:16,042 - Epoch:059, loss:1.4174
2023-03-21 22:55:16,106 - Epoch:060, loss:1.4430
2023-03-21 22:55:16,173 - Epoch:061, loss:1.4124
2023-03-21 22:55:16,236 - Epoch:062, loss:1.4510
2023-03-21 22:55:16,294 - Epoch:063, loss:1.4156
2023-03-21 22:55:16,355 - Epoch:064, loss:1.4390
2023-03-21 22:55:16,417 - Epoch:065, loss:1.4175
2023-03-21 22:55:16,481 - Epoch:066, loss:1.4348
2023-03-21 22:55:16,547 - Epoch:067, loss:1.4007
2023-03-21 22:55:16,611 - Epoch:068, loss:1.4512
2023-03-21 22:55:16,676 - Epoch:069, loss:1.4210
2023-03-21 22:55:16,740 - Epoch:070, loss:1.4158
2023-03-21 22:55:16,802 - Epoch:071, loss:1.4027
2023-03-21 22:55:16,868 - Epoch:072, loss:1.4337
2023-03-21 22:55:16,935 - Epoch:073, loss:1.3982
2023-03-21 22:55:16,998 - Epoch:074, loss:1.4271
2023-03-21 22:55:17,066 - Epoch:075, loss:1.3914
2023-03-21 22:55:17,131 - Epoch:076, loss:1.4065
2023-03-21 22:55:17,201 - Epoch:077, loss:1.3906
2023-03-21 22:55:17,268 - Epoch:078, loss:1.3939
2023-03-21 22:55:17,332 - Epoch:079, loss:1.4079
2023-03-21 22:55:17,393 - Epoch:080, loss:1.3910
2023-03-21 22:55:17,457 - Epoch:081, loss:1.4098
2023-03-21 22:55:17,522 - Epoch:082, loss:1.4067
2023-03-21 22:55:17,583 - Epoch:083, loss:1.3926
2023-03-21 22:55:17,644 - Epoch:084, loss:1.3917
2023-03-21 22:55:17,706 - Epoch:085, loss:1.4091
2023-03-21 22:55:17,773 - Epoch:086, loss:1.3819
2023-03-21 22:55:17,837 - Epoch:087, loss:1.3882
2023-03-21 22:55:17,894 - Epoch:088, loss:1.3870
2023-03-21 22:55:17,956 - Epoch:089, loss:1.3796
2023-03-21 22:55:18,015 - Epoch:090, loss:1.4051
2023-03-21 22:55:18,078 - Epoch:091, loss:1.4038
2023-03-21 22:55:18,141 - Epoch:092, loss:1.4175
2023-03-21 22:55:18,206 - Epoch:093, loss:1.3939
2023-03-21 22:55:18,270 - Epoch:094, loss:1.4153
2023-03-21 22:55:18,336 - Epoch:095, loss:1.3844
2023-03-21 22:55:18,399 - Epoch:096, loss:1.3971
2023-03-21 22:55:18,463 - Epoch:097, loss:1.3929
2023-03-21 22:55:18,528 - Epoch:098, loss:1.3949
2023-03-21 22:55:18,592 - Epoch:099, loss:1.3962
2023-03-21 22:55:18,658 - Epoch:100, loss:1.3803
2023-03-21 22:55:18,721 - Epoch:101, loss:1.4081
2023-03-21 22:55:18,786 - Epoch:102, loss:1.3941
2023-03-21 22:55:18,851 - Epoch:103, loss:1.3818
2023-03-21 22:55:18,915 - Epoch:104, loss:1.4065
2023-03-21 22:55:18,981 - Epoch:105, loss:1.3735
2023-03-21 22:55:19,044 - Epoch:106, loss:1.4080
2023-03-21 22:55:19,109 - Epoch:107, loss:1.4039
2023-03-21 22:55:19,173 - Epoch:108, loss:1.3899
2023-03-21 22:55:19,237 - Epoch:109, loss:1.4055
2023-03-21 22:55:19,302 - Epoch:110, loss:1.4074
2023-03-21 22:55:19,369 - Epoch:111, loss:1.3730
2023-03-21 22:55:19,434 - Epoch:112, loss:1.3741
2023-03-21 22:55:19,497 - Epoch:113, loss:1.4048
2023-03-21 22:55:19,561 - Epoch:114, loss:1.3939
2023-03-21 22:55:19,626 - Epoch:115, loss:1.4208
2023-03-21 22:55:19,690 - Epoch:116, loss:1.3945
